spp,Phylum,Class,Order,Family,Genus,Species,Past Gen,Authority,Common name,Migrants,Natural hybrid,Cryptic species complex,Endemic to Singapore,Global IUCN status,RDB2 status,RDB3 status,First known,Last known,No. of digital records and specimens,Actual generation time,Actual x 3,"% change [from 1980s to 2010s, based on 1980s]",Modelled rate of change,Modelled rate (p-value),pop <50,pop <250,pop <1000,pop <2500,pop <10000,Habitat loss,Habitat modification,Declining water quality,Sedimentation,Harmful algal blooms,Oil spills,Light pollution,Noise pollution,Warming,Acidification,Extraction,Invasive displacement,Threats still operating,Threats ceased,Habitat and ecology,sites ≤5 (named),sites >5,Area protection taken,Species recovery programme taken,Habitat restoration taken,Habitat creation taken,Maritime regulation taken,Area protection required,Species recovery programme required,Habitat restoration required,Habitat creation required,Maritime regulation required,Justifications,Remarks,References
Merulina scabricula,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Merulina,scabricula,Merulina,"Dana, 1846",,No,No,No,No,LC,-,LC,"1985 (ZRC, 19850621)",2020 (Kikuzawa et al),11,10,30,116,0.544739,1.39E-13,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose, branching.
Hermaphroditic broadcaster.

Can colonise artificial structures.",,"HA-NE, HA-W, HP-E, HP-W, JO-S, KU-NE, PSL-SE, RL-W, SE-NW, SE-SW, SJ-NW, SS-S, TM-E, TM-S, TPT-SW",X (SIMP),,,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,"Iffah(LKCNHM); Loo & Chou 1995; Guest et al 2005b; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Kikuzawa et al 2020

Teo et al. 2016 (quantification of coral sperm); Leveque et al 2019 (Symbiodiniaceae communities in merulinids)"
Mycedium elephantotus,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Mycedium,elephantotus,Mycedium,"(Pallas, 1766)",,No,No,No,No,LC,-,LC,1956 (as Mycedium tubifex; Purchon),2020 (Kikuzawa et al),16,10,30,190.8191654,0.166473,0.012767,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose, encrusting.
Hermaphroditic broadcaster.

Can colonise artificial structures.",,"HA-NE, HA-SE, HA-W, HP-E, HP-W, JO-S, KU-NE, LZ-E, LZ-SW, PSD-NW, PSD-SW, PSL-SE, RL-W, SE-NW, SE-SW, SJ-NW, SJ-S, SS-S, TKK-W, TM-S, TPT-SW",X (SIMP),"X (Chou et al, subtidal seawall transplant)

X (Chou et al, subtidal seawall transplant)",,,X (Raffles),,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,"Purchon 1956; Chuang 1961; Chou & Wong 1986; Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020; Kikuzawa et al 2020

Chou et al 2017 (effectiveness of reef restoration); Chou et al 2018 (relevance of reef restoration)"
Oulophyllia bennettae,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Oulophyllia,bennettae,Oulophyllia,"(Veron, Pichon & Wijsman-Best, 1977)",Intermediate valley coral,No,No,No,No,NT,-,DD,2005 (Guest et al (b)),2020 (Kikuzawa et al),8,10,30,,0.044422,4.27E-06,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive.
Hermaphroditic broadcaster.

Can colonise artificial structures.",,"HA-SE, JO-S, PSD-NW, RL-W, TPT-SW",X (SIMP),,,,X (Raffles),,,,,,"DD, as % cover change only quantified for < 10 years. 
",,"Guest et al 2005b; Ang 2007; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Kikuzawa et al 2020

Huang et al 2009b (pervasive paraphyly)"
Oulophyllia crispa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Oulophyllia,crispa,Oulophyllia,"(Lamarck, 1816)",,No,No,No,No,NT,-,LC,1995 (as Oulophyllia crispata; Loo & Chou),2017 (BioBlitz_SIMP2017),5,10,30,312.8712871,0.039944,0.068453,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive.
Hermaphroditic broadcaster.","KU-NE, RL-W, TPT-SW",,X (SIMP),,,,X (Raffles),,,,,,"Population decline not observed and further decline not predicted.

Also documented from other reefs in the region (Huang et al 2015).
",,"Loo & Chou 1995; Ang 2007; Huang et al 2009; BioBlitz_SIMP2017

Huang et al 2009b (pervasive paraphyly)"
Paragoniastrea australensis,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Paragoniastrea,australensis,Goniastrea,"(Milne Edwards & Haime, 1857) ",,No,No,No,No,LC,-,LC,1956 (as Goniastrea benhami; Purchon),2021 (Lee et al),12,10,30,47.75510204,0.0193,0.028972,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, encrusting.
Hermaphroditic broadcaster.",,"JO-S, RL-W, SE-SW, SS-S, TM-E, TPT-SW",X (SIMP),,,,X (Raffles),,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,"Purchon 1956; Chuang 1961; Chou & Teo 1983; Iffah(LKCNHM); Chou & Wong 1986; Loo & Chou 1995; Ang 2007; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Lee et al 2021

Huang et al 2009b (pervasive paraphyly)"
Paragoniastrea russelli,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Paragoniastrea,russelli,Favites,"(Wells, 1954) ",,No,No,No,No,NT,-,DD,1995 (as Favites russelli; Loo & Chou),2017 (REL Collections),1,10,30,-100,-0.00368,0.296529,,,,,,X,X,X,X,,,,,X,X,,,X,,Colonies massive.,,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995
Pectinia alcicornis,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Pectinia,alcicornis,Pectinia,"(Saville Kent, 1871)",Antler coral,No,No,No,No,VU,-,NT,"1986 (ZRC, 19860429)",2020 (Kikuzawa et al),11,10,30,-93.41161707,-0.87847,3.55E-16,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching, foliose, encrusting.
Hermaphroditic broadcaster.

Can colonise artificial structures.",,"HA-NE, HA-W, HP-W, JO-S, KU-NE, PSD-NW, RL-W, TPT-SW",X (SIMP),,,,X (Raffles),X,,,,X,"Population decline significant

Common at many sites. 

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Kikuzawa et al 2020
Pectinia crassa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Pectinia,crassa,Pectinia,"Ditlev, 2003",,No,No,No,No,DD,-,LC,2017 (BioBlitz_SIMP2017),2020 (Kikuzawa et al),5,Not stated,-,,0.261888,1.15E-37,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose.
Hermaphroditic broadcaster.

Can colonise artificial structures.",,"HA-NE, HA-SE, HA-W, HP-E, HP-W, JO-S, KU-NE, LZ-E, LZ-SW, PSD-NW, PSD-SW, PSL-SE, RL-W, SE-NW, SE-SW, SJ-NW, SJ-S, SS-N, SS-S, TKK-W, TM-E, TPT-SW",X (SIMP),,,,X (SultanShoal),,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Kikuzawa et al 2020
Pectinia lactuca,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Pectinia,lactuca,Pectinia,"(Pallas, 1766)",Carnation coral,No,No,No,No,VU,-,NT,1881 (as Tridacophyllia lactuca & T. symphylloides; Studer),2020 (Kikuzawa et al),19,10,30,-69.38239501,-0.44726,9.99E-07,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies submassive, branching, foliose.
Hermaphroditic broadcaster.

Can colonise artificial structures.",,"HA-NE, HA-SE, HA-W, HP-E, JO-S, KU-NE, PSD-NW, PSD-SW, PSL-SE, RL-W, SE-NW, SE-SW, SJ-NW, SJ-S, SS-N, SS-S, TKK-W, TM-S, TPT-SW",X (SIMP),,,,"X (Raffles)
X (SultanShoal)",X,,,,X,"Population decline significant

Common at many sites. 

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,"Studer 1881; Purchon 1956; Chou & Teo 1983; Chou & Wong 1986; Iffah(LKCNHM); Loo & Chou 1995; Guest et al 2005b; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Kikuzawa et al 2020

Tay et al 2011 (larval settlement competencies); Toh et al 2012 (spawning timing)"
Pectinia paeonia,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Pectinia,paeonia,Pectinia,"(Dana, 1846)",,No,No,No,No,NT,-,LC,1881 (as Tridacophyllia laciniata; Studer),2021 (Lee et al),19,10,30,251.9080706,1.230925,2.98E-36,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose, encrusting.
Hermaphroditic broadcaster.

Can colonise artificial structures.",,"CY-S, HA-NE, HA-SE, HA-W, HP-E, HP-W, JO-S, KU-NE, LA-S, LZ-E, LZ-SW, PSD-NW, PSD-SW, PSL-SE, RL-W, SE-NW, SE-SW, SJ-NW, SJ-S, SS-N, SS-S, TKK-W, TM-E, TM-S, TPT-SW",X (SIMP),X (Ng & Chou; COPs),,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",Also documented on reef flats (Lee et al 2021),"Studer 1881; Iffah(LKCNHM); Loo & Chou 1995; Guest et al 2005b; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020; Kikuzawa et al 2020; Lee et al 2021

Ng & Chou 2014 (COPs); Ng et al 2019b (skeletal density)"
Physophyllia ayleni,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Physophyllia,ayleni,Pectinia,"(Wells, 1934)",,No,No,No,No,NT,-,DD,2009 (as Pectinia ayleni; Huang et al 2009),2019 (Chow et al),2,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose. 
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Huang et al 2009; Chow et al 2019
Platygyra daedalea,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Platygyra,daedalea,Platygyra,"(Ellis & Solander, 1786)",Brain coral,No,No,No,No,LC,-,LC,1881 (as Coeloria daedalea; Studer),2021 (Lee et al),11,10,30,106.5306122,0.022768,0.19262,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive.
Hermaphroditic broadcaster.",,"HA-W, JO-S, KU-NE, PSD-NW, PSL-SE, RL-W, SE-SW, SJ-NW, SS-N, TPT-SW",X (SIMP),,,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",Also documented on reef flats (Lee et al 2021),"Studer 1881; Iffah(LKCNHM); Loo & Chou 1995; Ang 2007; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lee et al 2021

Huang et al 2009b (pervasive paraphyly)"
Platygyra lamellina,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Platygyra,lamellina,Platygyra,"(Ehrenberg, 1834)",Lesser valley coral,No,No,No,No,NT,-,VU,1956 (Purchon),2020 (Kikuzawa et al),15,10,30,-61.1744186,-0.09488,0.004389,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting.
Hermaphroditic broadcaster.

Can colonise artificial structures.",,"CY-S, HA-NE, HA-W, JO-S, KU-NE, PSD-NW, PSL-SE, RL-W, SE-SW, SS-N, SS-S, TPT-SW",,,,,"X (Raffles)
X (SultanShoal)",X,,X,X,X,"Population decline significant

Common at many sites. 

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,"Purchon 1956; Chuang 1961; Chou & Teo 1983; Chou & Wong 1986; Iffah(LKCNHM); Loo & Chou 1995; Ang 2007; Huang et al 2009; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020; Kikuzawa et al 2020

Huang et al 2009b (pervasive paraphyly)"
Platygyra pini,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Platygyra,pini,Platygyra,"Chevalier, 1975",,No,No,No,No,LC,-,LC,1995 (Loo & Chou),2021 (Lee et al),13,10,30,211.862069,0.024803,0.250455,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, encrusting.
Hermaphroditic broadcaster.

Can colonise artificial structures.",,"HA-NE, HA-W, JO-S, KU-NE, LA-S, LZ-SW, PSD-NW, PSL-SE, RL-W, SE-NW, SS-N, SS-S, TM-S, TPT-SW",X (SIMP),,,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).",Also documented on reef flats (Lee et al 2021),"Loo & Chou 1995; Guest et al 2005b; Ang 2007; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020; Kikuzawa et al 2020; Lee et al 2021

Huang et al 2009b (pervasive paraphyly); Guest et al 2012b (reproductive seasonality)"
Platygyra ryukyuensis,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Platygyra,ryukyuensis,Platygyra,"Yabe & Sugiyama, 1935",Maze brain coral,No,No,No,No,NT,-,DD,2005 (Guest et al (b)),2009 (Huang et al),2,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive. 
Hermaphroditic broadcaster.",,,,,,,X (Raffles),,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Guest et al 2005b; Huang et al 2009
Platygyra sinensis,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Platygyra,sinensis,Platygyra,"(Milne Edwards & Haime, 1849)",,No,No,No,No,LC,-,LC,1881 (as Coeloria stricta & C. sinensis; Studer),2021 (Lee et al),33,10,30,430.4873752,0.755957,1.13E-20,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting.
Hermaphroditic broadcaster.

Can colonise artificial structures.",,"CY-S, HA-NE, HA-SE, HA-W, HP-E, HP-W, JO-S, KU-NE, LA-S, LZ-E, LZ-SW, PSD-NW, PSD-SW, PSL-SE, RL-W, SE-NW, SE-SW, SJ-NW, SJ-S, SS-N, SS-S, TKK-W, TM-E, TM-S, TPT-SW",X (SIMP),"X (Ng et al, ex situ nursery)
X (Taira et al (b), in situ nursery)
X (Toh et al (b), in situ nursery & subtidal seawall transplant)
X (Chou et al, reef & subtidal seawall transplant)
X (Sam et al, in situ nursery)
X (Wee et al, in situ nursery)",,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).",Also documented on reef flats (Lee et al 2021),"Studer 1881; Iffah(LKCNHM); Loo & Chou 1995; Guest et al 2005b; Ang 2007; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020; Kikuzawa et al 2020; Lee et al 2021

Huang et al 2009b (pervasive paraphyly); Tay et al 2011 (larval settlement competencies); Ng et al 2012 (ex situ coral nursery); Browne et al. 2014 (photophysiological stress); Browne et al. 2015a (coral-sediment thresholds); Browne et al. 2015b (fluctuation in coral health); Tay et al 2015 (microsatellite markers); Taira et al 2017a (relocating bleached colonies); Taira et al 2017b (juv. butterflyfishes inhabiting nursery); Toh et al 2017b (cost-effective seawall biodiversity enhancement); Chou et al 2017 (effectiveness of reef restoration); Sam et al 2018 (cuttlefish egg deposition); Ng et al 2019b (skeletal density); Quek & Huang 2019 (phylotranscriptomic analysis); Wee et al 2019 (epifauna); Loo et al 2020 (optimal temperature); Quek et al 2020 (baits)"
Platygyra verweyi,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Platygyra,verweyi,Platygyra,"Wijsman-Best, 1976",,No,No,No,No,NT,-,NT,1995 (Loo & Chou),2021 (Lee et al),10,10,30,-37.93103448,0.004858,0.567985,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, encrusting.
Hermaphroditic broadcaster.","HP-W, LA-S, LZ-E, TKK-W",,X (SIMP),,,,"X (Raffles)
X (SultanShoal)",X,,,,X,"Not found at many sites. Population decline not documented.

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",Also documented on reef flats (Lee et al 2021),"Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020; Lee et al 2021

Guest et al 2002 (multispecific synchronus spawning); Huang et al 2009b (pervasive paraphyly)"
Plerogyra sinuosa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Plerogyra,sinuosa,Plerogyra,"(Dana, 1846)",Pearl bubble coral,No,No,No,No,NT,-,VU,1881 (as Plerogyra laxa; Studer),2020 (Kikuzawa et al),15,10,30,-70.86746375,-0.14795,0.040624,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive.
Gonochoric broadcaster.

Can colonise artificial structures.",,"CY-S, HA-NE, HA-W, HP-E, KU-NE, LZ-E, LZ-SW, PSD-NW, RL-W, SE-NW, SJ-NW, SS-S, TKK-W, TPT-SW",X (SIMP),,,,X (Raffles),X,,X,X,X,"Population decline significant

Common at many sites. 

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",Found at some intertidal sites (Lim et al 2020),Studer 1881; Purchon 1956; Chuang 1961; Chou & Teo 1983; Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Lim et al 2020; Kikuzawa et al 2020
Scapophyllia cylindrica,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Scapophyllia,cylindrica,Scapophyllia,"Milne Edwards & Haime, 1849",Columniform crust coral,No,No,No,No,LC,-,VU,1956 (Purchon),2019 (Leveque et al),6,10,30,-94.11764706,-0.03463,0.039358,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting.
Hermaphroditic broadcaster.",KU-NE,,,,,,X (Raffles),X,,X,,X,"Population decline significant.
Not found at many sites.

Also documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",Not recorded at intertidal sites by both WildSingapore and Lim et al 2020.,"Purchon 1956; Loo & Chou 1995; Guest et al 2005b; Huang et al 2009

Huang et al 2009b (pervasive paraphyly); Leveque et al 2019 (Symbiodiniaceae communities in merulinids)"
Trachyphyllia geoffroyi,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Trachyphyllia,geoffroyi,Trachyphyllia,"(Audouin, 1826)",Green open brain coral,No,No,No,No,NT,-,EN,1881 (as Trachyphyllia armaranthus; Studer),2020 (Lim et al),8,10,30,-100,-0.00608,0.06218,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies free-living.
Broadcaster.",,,X (SIMP),,,,X (Raffles),X,X,X,,X,"Population decline significant.
Not found at many sites.

Also documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Studer 1881; Purchon 1956; Iffah(LKCNHM); Chou & Teo 1983; Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Lim et al 2020
Physogyra lichtensteini,Cnidaria,Anthozoa,Scleractinia,Plesiastreidae,Physogyra,lichtensteini,Physogyra,"(Milne Edwards & Haime, 1851)",Pearl bubble coral,No,No,No,No,VU,-,VU,"1986 (ZRC, 19860418)",2018 (Wong et al),3,10,30,-95.31339031,-0.14104,0.001405,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive.
Gonochoric broadcaster.","HP-W, LZ-E, SE-NW",,,,,,,X,,X,,X,"Population decline significant.
Not found at many sites.

Also documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Iffah(LKCNHM); Loo & Chou 1995; Wong et al 2018
Plesiastrea versipora,Cnidaria,Anthozoa,Scleractinia,Plesiastreidae,Plesiastrea,versipora,Plesiastrea,"(Lamarck, 1816)",Pock-marked coral,No,No,No,No,LC,-,DD,2017 (BioBlitz_SIMP2017),2020 (Quek et al),7,10,30,,0.021329,0.034134,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting.
Gonochoric broadcaster.

Can colonise artificial structures.",,"HP-E, LA-S, LZ-E, PSD-NW, RL-W, SJ-NW, SJ-S, SS-S, TKK-W, TM-S",X (SIMP),X (NParks species recovery progr),,,,,,,,,"DD, as % cover change only quantified for < 10 years. 
",,"BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Lim et al 2020; Kikuzawa et al 2020

Quek & Huang 2019 (phylotranscriptomic analysis); Quek et al 2020 (baits)"
Madracis kirbyi,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Madracis,kirbyi,Madracis,"Veron & Pichon, 1976",Ten coral,No,No,No,No,LC,-,DD,1995 (Loo & Chou),2019 (REL Collections),1,10,30,-100,-0.00527,0.313323,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive.
Hermaphroditic brooder.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995
Pocillopora acuta,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,Pocillopora,"Lamarck, 1816",Cauliflower coral,No,No,No,No,-,-,LC,1881 (as Pocillopora damicornis and P. bulbosa; Studer),2021 (Lee et al),65,5,15,59.55555556,0.055446,0.06904,,,,,,X,X,X,X,,,,,X,X,,,X,,"Usually in shallow areas; exhibit two distinct branching morphologies: compact (> 20 mm diameter) in exposed environments while thinner (~ 7 to 20 mm diameter) for those found in sheltered areas. Hermaphroditic brooder.

Colonies branching.
Can colonise artificial structures.",,"HP-E, KU-NE, PSD-NW, PSL-SE, RL-W, TM-E, TM-S, TPT-SW",X (as P.dam in Huang2009 in SIMP),"As Pocillopora damicornis:
X (Bongiorni et al, in situ nursery)
X (Ng et al, ex situ nursery)
X (Toh et al 2014, ex situ nursery & reef transplant)
X (Ng et al, ex situ nursery & intertidal seawall transplant)
X (Afiq-Rosli et al, in situ nursery & subtidal seawall transplant)
X (Toh et al (b), in situ nursery & subtidal seawall transplant)
X (Chou et al, reef & subtidal seawall transplant)

As Pocillopora acuta:
X (Poquita-Du et al (b), in situ nursery)
X (Sam et al, in situ nursery)
X (Wee et al, in situ nursery)","X (Loh et al, REUs; as P.dam recruits)",,"X (as P.dam in Huang 2009, Raffles)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.
",,"Surveyed as Pocillopora damicornis: Studer 1881; Chuang 1977; Loo & Chou 1995; Huang et al 2009 

Surveyed as Pocillopora bulbosa (now acuta): Studer 1881

Surveyed as Pocillopora acuta: BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020; Kikuzawa et al 2020; Lee et al 2021

Expts as Pocillopora damicornis:
Goh et al 1989 (anomuran symbionts); Loh et al 2006 (REUs); Bongiorni et al 2011 (in situ coral nursery); Ng et al 2012 (ex situ coral nursery); Toh et al 2013a, b, c, d (grazers, early zooplanktivory, heterotrophy, aggregated settlement); Toh et al 2014 (nutritional enhancement); Browne et al. 2015 (fluctuation in coral health); Ng et al 2015 (enhancing seawall biodiversity); Afiq-Rosli et al 2017 (in situ nursery); Toh et al 2017a (marina epibiotic assemblages); Toh et al 2017b (cost-effective seawall biodiversity enhancement); Chou et al 2017 (effectiveness of reef restoration); Chou et al 2019b (planulation in 1990)

Expts as Pocillopora acuta:
Sam et al 2016 (Drupella egg sighting); Tanzil et al 2016 (Symbiodinium diversity); Poquita-Du et al 2017a ('damicornis'-like); Poquita-Du et al 2017b (nursery orientation); Sam et al 2017 (Drupella veliger development); Sam et al 2018 (cuttlefish egg deposition); Samsuri et al 2018 (Trapezia); Fong et al 2019 (allelopathic effects); Ng et al 2019b (skeletal density); Poquita-Du et al 2019 (exposure to heat and sediment); Wainwright et al 2019 (coral-associated bacteria); Wee et al 2019 (epifauna); Poquita-Du et al 2020a, b (heat stress and recovery; contribution of Durusdinium); Loo et al 2020 (optimal temperature); Quek et al 2020 (baits)"
Pocillopora cf. verrucosa,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,cf. verrucosa,Pocillopora,"(Ellis and Solander, 1786)",Cauliflower coral,No,No,No,No,LC,-,DD,Studder 1881,2009 (Lee & Sin),3,5,15,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,Hermaphroditic broadcaster. Associated with two co-occuring ectosymbionts such as (Trapezia septata) and coral- dwelling alpheid shrimps (Alpheus lottini),,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Goh et al 1989 (anomuran symbionts); Lee & Sin 2009 (relationship with Trapezia septata)
Seriatopora hystrix,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Seriatopora,hystrix,Seriatopora,"Dana, 1846",Thin birdsnest coral,No,No,No,No,LC,CR,NEx,1956 (Purchon),1961 (Chuang) ,4,5,15,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Inhabit sloping rock surfaces and can be found as deep as ~ 40 m. Relatively uncommon compared with other members of the family. Morphological features exhibit variation related to wave motion and light intensity.

Colonies branching.
Hermaphroditic brooder. ",,,,,,,,X,X,X,,X,"Although also documented from other reefs in the region (Huang et al 2015), this species has not been observed on Singapore reefs since 1961. Status is therefore not downgraded from Part 1 [initial (local) assessment based on RDB2 methodology], i.e. despite potential immigration of propagules from the region, the species has not managed to reestablish.",,Purchon 1956; Chuang 1961; Poquita-Du et al 2019 (Last species standing)
Stylophora pistillata,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,pistillata,Stylophora,"Esper, 1797",Smooth cauliflower coral,No,No,No,No,NT,CR,CR,Studder 1881,"2010 (K Tun, as per comms)",9,7,21,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Typically dominant on shallow reefs. Colonies exhibit wide morphological variation across different habitats: ivy-colored and subspherical in shallow waters while appear planar and dark in deeper waters. 

Colonies branching.
Hermaphroditic brooder. ",,,,,,,X (Raffles),X,X,X,,X,"Since 1977, only one colony observed at Raffles Lighthouse (Tun pers comm), but it has since perished.

Although also documented from other reefs in the region (Huang et al 2015), this species has not been observed on Singapore reefs since 2010. Status is therefore not downgraded from Part 1 [initial (local) assessment based on RDB2 methodology], i.e. despite potential immigration of propagules from the region, the species has not managed to reestablish.",,Studder 1881; Purchon 1956; Chuang 1977; Poquita-Du et al 2019 (Last species standing)
